burial,section,method,element,area3d_tot_element,tot_section,percentage,element_perc
30,total,physical,CB,239,881,27.12826334,NA
30,total,virtual,LB,27522.51,39198.4051,70.21334141,NA
30,total,physical,LB,362,881,41.08967083,NA
30,total,virtual,SB,1592.202,39198.4051,4.061905059,NA
30,total,physical,SB,111,881,12.59931896,NA
30,total,virtual,UL,0,39198.4051,0,NA
30,total,physical,UL,49,881,5.561861521,NA
30,total,virtual,LL,0,39198.4051,0,NA
30,total,physical,LL,43,881,4.880817253,NA
30,total,virtual,T,0,39198.4051,0,NA
30,total,physical,T,77,881,8.740068104,NA
30,total,virtual,TOT,39198.4051,39198.4051,100,NA
30,total,physical,TOT,881,881,100,NA
30,upper,virtual,CB,1978.608,5685.188,34.80285964,19.62185858
30,upper,physical,CB,68,172,39.53488372,28.45188285
30,upper,virtual,LB,3706.58,5685.188,65.19714036,13.46744901
30,upper,physical,LB,45,172,26.1627907,12.43093923
30,upper,virtual,SB,0,5685.188,0,0
30,upper,physical,SB,17,172,9.88372093,15.31531532
30,upper,virtual,UL,0,5685.188,0,NA
30,upper,physical,UL,9,172,5.23255814,18.36734694
30,upper,virtual,LL,0,5685.188,0,NA
30,upper,physical,LL,11,172,6.395348837,25.58139535
30,upper,virtual,T,0,5685.188,0,NA
30,upper,physical,T,22,172,12.79069767,28.57142857
30,upper,virtual,TOT,5685.188,5685.188,100,14.50362071
30,upper,physical,TOT,172,172,100,19.52326901
30,central,virtual,CB,6292.2531,21653.8761,29.05832226,62.40028368
30,central,physical,CB,92,291,31.61512027,38.49372385
30,central,virtual,LB,14509.48,21653.8761,67.00638691,52.71859289
30,central,physical,LB,104,291,35.73883162,28.72928177
30,central,virtual,SB,852.143,21653.8761,3.935290828,53.51977953
30,central,physical,SB,26,291,8.934707904,23.42342342
30,central,virtual,UL,0,21653.8761,0,NA
30,central,physical,UL,23,291,7.903780069,46.93877551
30,central,virtual,LL,0,21653.8761,0,NA
30,central,physical,LL,20,291,6.872852234,46.51162791
30,central,virtual,T,0,21653.8761,0,NA
30,central,physical,T,26,291,8.934707904,33.76623377
30,central,virtual,TOT,21653.8761,21653.8761,100,55.24172742
30,central,physical,TOT,291,291,100,33.03064699
30,lower,virtual,CB,1831.497,11912.573,15.37448711,18.16295857
30,lower,physical,CB,79,418,18.89952153,33.05439331
30,lower,virtual,LB,9340.4,11912.573,78.40791406,33.93731168
30,lower,physical,LB,213,418,50.9569378,58.83977901
30,lower,virtual,SB,740.676,11912.573,6.217598834,46.51897184
30,lower,physical,SB,68,418,16.26794258,61.26126126
30,lower,virtual,UL,0,11912.573,0,NA
30,lower,physical,UL,17,418,4.066985646,34.69387755
30,lower,virtual,LL,0,11912.573,0,NA
30,lower,physical,LL,12,418,2.870813397,27.90697674
30,lower,virtual,T,0,11912.573,0,NA
30,lower,physical,T,29,418,6.937799043,37.66233766
30,lower,virtual,TOT,11912.573,11912.573,100,30.39045331
30,lower,physical,TOT,418,418,100,47.446084
30,half_A,virtual,CB,2866.058,20311.98,14.11018522,28.4227016
30,half_A,physical,CB,89,405,21.97530864,37.23849372
30,half_A,virtual,LB,16082.03,20311.98,79.17509765,58.43227961
30,half_A,physical,LB,164,405,40.49382716,45.3038674
30,half_A,virtual,SB,1363.892,20311.98,6.714717128,85.66073903
30,half_A,physical,SB,66,405,16.2962963,59.45945946
30,half_A,virtual,UL,0,20311.98,0,NA
30,half_A,physical,UL,26,405,6.419753086,53.06122449
30,half_A,virtual,LL,0,20311.98,0,NA
30,half_A,physical,LL,28,405,6.913580247,65.11627907
30,half_A,virtual,T,0,20311.98,0,NA
30,half_A,physical,T,32,405,7.901234568,41.55844156
30,half_A,virtual,TOT,20311.98,20311.98,100,51.8183838
30,half_A,physical,TOT,405,405,100,45.97048808
30,half_B,virtual,CB,7222.9231,18942.6091,38.13056091,71.6297395
30,half_B,physical,CB,150,476,31.51260504,62.76150628
30,half_B,virtual,LB,11491.38,18942.6091,60.66418802,41.75265991
30,half_B,physical,LB,198,476,41.59663866,54.6961326
30,half_B,virtual,SB,228.306,18942.6091,1.205251076,14.33900975
30,half_B,physical,SB,45,476,9.453781513,40.54054054
30,half_B,virtual,UL,0,18942.6091,0,NA
30,half_B,physical,UL,23,476,4.831932773,46.93877551
30,half_B,virtual,LL,0,18942.6091,0,NA
30,half_B,physical,LL,15,476,3.151260504,34.88372093
30,half_B,virtual,T,0,18942.6091,0,NA
30,half_B,physical,T,45,476,9.453781513,58.44155844
30,half_B,virtual,TOT,18942.6091,18942.6091,100,48.32494856
30,half_B,physical,TOT,476,476,100,54.02951192
30,half_C,virtual,CB,5042.71,21088.072,23.91261752,50.00856283
30,half_C,physical,CB,141,488,28.89344262,58.9958159
30,half_C,virtual,LB,14453.16,21088.072,68.53713322,52.51396039
30,half_C,physical,LB,187,488,38.31967213,51.65745856
30,half_C,virtual,SB,1592.202,21088.072,7.550249259,100
30,half_C,physical,SB,51,488,10.45081967,45.94594595
30,half_C,virtual,UL,0,21088.072,0,NA
30,half_C,physical,UL,33,488,6.762295082,67.34693878
30,half_C,virtual,LL,0,21088.072,0,NA
30,half_C,physical,LL,31,488,6.352459016,72.09302326
30,half_C,virtual,T,0,21088.072,0,NA
30,half_C,physical,T,45,488,9.221311475,58.44155844
30,half_C,virtual,TOT,21088.072,21088.072,100,53.79829089
30,half_C,physical,TOT,488,488,100,55.39160045
30,half_D,virtual,CB,5056.4011,18177.9611,27.81610695,50.14433749
30,half_D,physical,CB,98,393,24.93638677,41.0041841
30,half_D,virtual,LB,13121.56,18177.9611,72.18389305,47.67573888
30,half_D,physical,LB,175,393,44.52926209,48.34254144
30,half_D,virtual,SB,0,18177.9611,0,0
30,half_D,physical,SB,60,393,15.26717557,54.05405405
30,half_D,virtual,UL,0,18177.9611,0,NA
30,half_D,physical,UL,16,393,4.071246819,32.65306122
30,half_D,virtual,LL,0,18177.9611,0,NA
30,half_D,physical,LL,12,393,3.053435115,27.90697674
30,half_D,virtual,T,0,18177.9611,0,NA
30,half_D,physical,T,32,393,8.142493639,41.55844156
30,half_D,virtual,TOT,18177.9611,18177.9611,100,46.37423654
30,half_D,physical,TOT,393,393,100,44.60839955
32,total,virtual,CB,19099.1017,73557.6717,25.96479913,NA
32,total,physical,CB,457,2850,16.03508772,NA
32,total,virtual,LB,32701.48,73557.6717,44.45692644,NA
32,total,physical,LB,1193,2850,41.85964912,NA
32,total,virtual,SB,21757.09,73557.6717,29.57827443,NA
32,total,physical,SB,633,2850,22.21052632,NA
32,total,virtual,UL,0,73557.6717,0,NA
32,total,physical,UL,79,2850,2.771929825,NA
32,total,virtual,LL,0,73557.6717,0,NA
32,total,physical,LL,161,2850,5.649122807,NA
32,total,virtual,T,0,73557.6717,0,NA
32,total,physical,T,327,2850,11.47368421,NA
32,total,virtual,TOT,73557.6717,73557.6717,100,NA
32,total,physical,TOT,2850,2850,100,NA
32,upper,virtual,CB,6430.2917,19414.7047,33.12072885,33.66803215
32,upper,physical,CB,167,1028,16.24513619,36.54266958
32,upper,virtual,LB,8251.13,19414.7047,42.4993845,25.23167147
32,upper,physical,LB,449,1028,43.6770428,37.63621123
32,upper,virtual,SB,4733.283,19414.7047,24.37988665,21.75512902
32,upper,physical,SB,242,1028,23.54085603,38.23064771
32,upper,virtual,UL,0,19414.7047,0,NA
32,upper,physical,UL,31,1028,3.015564202,39.24050633
32,upper,virtual,LL,0,19414.7047,0,NA
32,upper,physical,LL,80,1028,7.782101167,49.68944099
32,upper,virtual,T,0,19414.7047,0,NA
32,upper,physical,T,59,1028,5.739299611,18.04281346
32,upper,virtual,TOT,19414.7047,19414.7047,100,26.39385431
32,upper,physical,TOT,1028,1028,100,36.07017544
32,central,virtual,CB,10321.8,34970.52,29.51571781,54.04337943
32,central,physical,CB,170,947,17.95142555,37.19912473
32,central,virtual,LB,15350.47,34970.52,43.89545823,46.94120878
32,central,physical,LB,375,947,39.59873284,31.43336127
32,central,virtual,SB,9298.25,34970.52,26.58882396,42.73664355
32,central,physical,SB,180,947,19.00739176,28.43601896
32,central,virtual,UL,0,34970.52,0,NA
32,central,physical,UL,25,947,2.639915523,31.64556962
32,central,virtual,LL,0,34970.52,0,NA
32,central,physical,LL,41,947,4.329461457,25.46583851
32,central,virtual,T,0,34970.52,0,NA
32,central,physical,T,156,947,16.47307286,47.70642202
32,central,virtual,TOT,34970.52,34970.52,100,47.54163528
32,central,physical,TOT,947,947,100,33.22807018
32,lower,virtual,CB,2372.911,19254.881,12.32368562,12.42420213
32,lower,physical,CB,120,875,13.71428571,26.25820569
